jobapply,jobarea,jobcompany,jobdate,jobedu,jobexp,jobindcat,jobname,jobsalary
0~5人應徵,台中市西區,格明數位媒體有限公司,4/22,專科,經歷不拘,電腦軟體服務業,Blockchain Developer 區塊鏈工程師 【區塊鏈事業群】,待遇面議
0~5人應徵,台北市信義區,新堡科技股份有限公司,2/18,大學,3年以上,電腦系統整合服務業,後端開發工程師,待遇面議
0~5人應徵,新竹縣竹東鎮,工研院 _財團法人工業技術研究院,4/08,碩士,1年以上,其他專業／科學及技術業,工研院資通所_DevOps工程師(X007),待遇面議
0~5人應徵,馬來西亞,傲勝遊戲股份有限公司,3/20,專科,3年以上,網際網路相關業,KL-【區塊鍊工程師】（吉隆坡）,"月薪 112,000~200,000元"
0~5人應徵,馬來西亞,傲勝遊戲股份有限公司,3/20,大學,8年以上,網際網路相關業,KL-【IM專案服務端架構師】（吉隆坡）,"月薪 150,000~200,000元"
6~10人應徵,台北市中正區,中華資安國際股份有限公司,4/24,大學,經歷不拘,電腦軟體服務業,資安研發工程師 (R&amp;D Engineer),待遇面議
0~5人應徵,台北市信義區,傲勝遊戲股份有限公司,4/23,專科,3年以上,網際網路相關業,TW.S-【PHP後端工程師】（台北／輪值）,"月薪 60,000~140,000元"
0~5人應徵,新北市中和區,幣聖科技有限公司,4/18,大學,5年以上,工商顧問服務業,（PdM）Product manager,待遇面議
0~5人應徵,新北市中和區,幣聖科技有限公司,4/18,大學,3年以上,工商顧問服務業,（SD）System Designer,待遇面議
6~10人應徵,新竹縣寶山鄉,喬鼎資訊股份有限公司,4/24,大學,經歷不拘,電腦系統整合服務業,【R&amp;D】網頁全端 (前端+後端) 軟體工程師 Full Stack / Frontend+Backend Engineer (GUI)(新竹),待遇面議
0~5人應徵,台北市大同區,喬鼎資訊股份有限公司,4/24,大學,經歷不拘,電腦系統整合服務業,【R&amp;D】網頁全端 (前端+後端) 軟體工程師 Full Stack / Frontend+Backend Engineer (GUI)(台北),待遇面議
0~5人應徵,新北市汐止區,宏碁股份有限公司,4/08,大學,3年以上,電腦及其週邊設備製造業,【RD】IoT software engineer - 1900224,待遇面議
0~5人應徵,台北市內湖區,Advantech_研華股份有限公司,4/22,大學,3年以上,電腦系統整合服務業,WISE-PaaS Database Architect,待遇面議
0~5人應徵,台北市內湖區,Advantech_研華股份有限公司,4/22,大學,1年以上,電腦系統整合服務業,後端軟體工程師,待遇面議
0~5人應徵,台北市松山區,曉數碼股份有限公司,4/25,大學,1年以上,電腦軟體服務業,【國際版營運】伺服器遊戲工程師 Server Engineer (Mobile Game),"月薪 40,000~120,000元"
0~5人應徵,台北市內湖區,英屬開曼群島商盾心科技股份有限公司台灣分公司,2/19,專科,經歷不拘,其它軟體及網路相關業,QA 軟體測試人員 (實習/工讀),時薪 150~200元/小時
0~5人應徵,台北市內湖區,CatchPlay_英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,4/19,大學,經歷不拘,網際網路相關業,Platform Developer,待遇面議
0~5人應徵,台北市信義區,安銳智慧股份有限公司,4/20,學歷不拘,經歷不拘,電腦軟體服務業,Full Stack Developer,"月薪 38,000~46,000元"
0~5人應徵,台北市內湖區,雲動科技股份有限公司,4/15,大學,經歷不拘,其它軟體及網路相關業,Sr. Backend Engineer,待遇面議
0~5人應徵,台北市松山區,LINE TV_巧克科技新媒體股份有限公司,4/22,專科,經歷不拘,網際網路相關業,Node.js 後端工程師 (網路影音產業),待遇面議
0~5人應徵,台北市信義區,雷亞遊戲股份有限公司,4/03,專科,經歷不拘,網際網路相關業,"Software Engineer, Backend","月薪 60,000~100,000元"
0~5人應徵,台北市南港區,鴻華國際科技股份有限公司,4/15,專科,經歷不拘,其他電子零組件相關業,後端工程師,"月薪 65,000~80,000元"
0~5人應徵,台北市內湖區,騰雲數位行銷有限公司,4/16,專科,3年以上,其它軟體及網路相關業,遊戲後端資深工程師【N05】,"月薪 100,000~120,000元"
0~5人應徵,台北市中正區,台灣富力思泰科技股份有限公司,2/21,專科,1年以上,電腦系統整合服務業,全端工程師,待遇面議
0~5人應徵,台中市西屯區,皇喬集團_長青資訊有限公司,4/18,大學,2年以上,電腦軟體服務業,網頁後端工程師,"月薪 30,000~80,000元"
0~5人應徵,台北市大安區,願境網訊股份有限公司_KKBOX,4/27,大學,1年以上,網際網路相關業,[KKTIX] Junior Backend Engineer,待遇面議
0~5人應徵,台北市內湖區,創順科技有限公司,4/19,大學,1年以上,其它軟體及網路相關業,DevOps 運維工程師,"月薪 60,000~130,000元"
0~5人應徵,新竹市,牧德科技股份有限公司,4/12,碩士,3年以上,光學器材製造業,全端 Sr. Engineer,待遇面議
0~5人應徵,台北市信義區,天堂遊戲有限公司,4/22,專科,3年以上,電腦軟體服務業,[RD] Data Engineer--組織擴編,"月薪 70,000~100,000元"
0~5人應徵,台北市南港區,願境網訊股份有限公司_KKBOX,3/19,大學,2年以上,網際網路相關業,[KKStream] Sr. Backend/Infra Engineer (Video Streaming),待遇面議
0~5人應徵,台北市內湖區,騰雲數位行銷有限公司,4/16,專科,3年以上,其它軟體及網路相關業,平台後端資深工程師【N05】,"月薪 100,000~120,000元"
0~5人應徵,台北市大安區,雲中雲有限公司,4/19,大學,2年以上,其它軟體及網路相關業,PHP開發工程師,"月薪 60,000~70,000元"
0~5人應徵,桃園市中壢區,雲中雲有限公司,4/19,大學,2年以上,其它軟體及網路相關業,PHP開發工程師,"月薪 60,000~70,000元"
0~5人應徵,台北市中正區,普利迪網路科技有限公司,4/22,專科,經歷不拘,網際網路相關業,PHP資深工程師(外派菲律賓),待遇面議
0~5人應徵,台北市中正區,普利迪網路科技有限公司,4/24,專科,經歷不拘,網際網路相關業,外派菲律賓資深工程師,待遇面議
0~5人應徵,台北市大安區,香蕉會兒設計有限公司,4/24,高中,2年以上,數位內容產業,Video Streaming Backend Engineer  直播工程師,待遇面議
0~5人應徵,台北市內湖區,網鈺數位科技有限公司,4/24,大學,2年以上,網際網路相關業,PHP軟體工程師,待遇面議
0~5人應徵,台北市大安區,三細胞有限公司,4/22,專科,經歷不拘,其它軟體及網路相關業,Senior Back-end developer 資深後端工程師,"月薪 70,000~120,000元"
0~5人應徵,台北市大安區,三細胞有限公司,4/22,專科,經歷不拘,其它軟體及網路相關業,Back-end developer 後端工程師,"月薪 50,000~80,000元"
0~5人應徵,台北市中正區,普利迪網路科技有限公司,4/22,專科,經歷不拘,網際網路相關業,Python資深工程師(外派菲律賓),待遇面議
0~5人應徵,新北市新店區,恩智區塊鏈科技有限公司,4/25,碩士,2年以上,電腦系統整合服務業,區塊鏈工程師,待遇面議
11~30人應徵,台北市松山區,日商優必達株式會社股份有限公司台灣分公司,4/23,大學,經歷不拘,電腦軟體服務業,Big Data Engineer (Core Services),待遇面議
0~5人應徵,台中市中區,樂志數位有限公司,4/24,專科,3年以上,網際網路相關業,JAVA程式設計師（台中）,"月薪 40,000~80,000元"
0~5人應徵,新北市板橋區,香港商易安聯股份有限公司台灣分公司,4/23,大學,6年以上,其它軟體及網路相關業,Backend Engineer,待遇面議
0~5人應徵,新北市中和區,幣聖科技有限公司,4/18,大學,3年以上,工商顧問服務業,（PG）Programming,待遇面議
0~5人應徵,台北市南港區,酷遊天股份有限公司,4/23,大學,經歷不拘,旅遊服務業,[ PMS ] Backend Engineer,待遇面議
0~5人應徵,高雄市苓雅區,銓宜科技有限公司,4/18,大學,2年以上,電腦軟體服務業,軟體平台開發與應用工程師,待遇面議
0~5人應徵,台北市信義區,雲杉科技股份有限公司,4/24,學歷不拘,3年以上,電腦軟體服務業,資深軟體設計師,"月薪 60,000~100,000元"
0~5人應徵,台北市全部,104外包網,3/04,大學,經歷不拘,,【接案】區塊鏈研究專案,"月薪 30,000~60,000元"
