jobapply,jobarea,jobcompany,jobdate,jobedu,jobexp,jobindcat,jobname,jobsalary
6~10人應徵,台北市信義區,天堂遊戲有限公司,4/25,專科,3年以上,電腦軟體服務業,[RD] 資深工程師(Golang)--組織擴編,"年薪 1,000,000~3,000,000元"
0~5人應徵,台北市信義區,天堂遊戲有限公司,4/23,學歷不拘,經歷不拘,電腦軟體服務業,[實習] Web開發/QA工程師 (Golang)~6-8月報到,時薪 160~210元/小時
0~5人應徵,台北市松山區,日商優必達株式會社股份有限公司台灣分公司,4/23,專科,經歷不拘,電腦軟體服務業,Backend Engineer (Site Reliability Engineer),待遇面議
0~5人應徵,台北市中山區,三安科技有限公司,4/24,專科,2年以上,電腦軟體服務業,遊戲Server開發工程師,待遇面議
0~5人應徵,台北市南港區,東方龍數位股份有限公司,4/25,高中,2年以上,電腦軟體服務業,線上遊戲網站開發工程師,"月薪 45,000~55,000元"
0~5人應徵,台北市大安區,璿宇數位有限公司,4/25,專科,經歷不拘,其它軟體及網路相關業,軟體研發工程師,"月薪 35,000~80,000元"
0~5人應徵,台北市內湖區,昶鑫科技股份有限公司,4/23,專科,經歷不拘,電腦軟體服務業,後端資料庫工程師,待遇面議
0~5人應徵,台中市西區,永勝雲端有限公司,4/24,大學,1年以上,電腦軟體服務業,後端Server開發工程師,"月薪 32,000~85,000元"
0~5人應徵,台中市西屯區,四葉草資訊有限公司,4/24,學歷不拘,經歷不拘,其它軟體及網路相關業,後端工程師,待遇面議
0~5人應徵,新北市汐止區,QNAP_威聯通科技股份有限公司,4/25,大學,經歷不拘,電腦軟體服務業,68000-軟體研發工程師,待遇面議
0~5人應徵,台北市中正區,大羚羊區塊鏈金融科技股份有限公司,4/19,學歷不拘,經歷不拘,電腦軟體服務業,"區塊鏈工程師【面議, 自主管理】(Blockchain Engineer)",待遇面議
0~5人應徵,高雄市鹽埕區,紫克科技有限公司,4/25,大學,經歷不拘,電腦軟體服務業,軟體工程師 (高雄),待遇面議
0~5人應徵,台北市中山區,維新網股份有限公司,4/24,大學,3年以上,電腦軟體服務業,Sr. Software Developer,待遇面議
0~5人應徵,台北市中正區,大羚羊區塊鏈金融科技股份有限公司,4/19,學歷不拘,5年以上,電腦軟體服務業,Node.js資深後端工程師 【月薪7萬~10萬，年保障14個月】,"月薪 70,000~100,000元"
0~5人應徵,台北市中正區,紫克科技有限公司,4/25,大學,經歷不拘,電腦軟體服務業,軟體工程師 (台北),待遇面議
0~5人應徵,台北市中山區,春樹科技股份有限公司,4/23,大學,3年以上,網際網路相關業,後端工程師 / Back-End Engineer,"月薪 45,000~80,000元"
0~5人應徵,台中市西屯區,齊力科技有限公司,4/22,學歷不拘,2年以上,電腦軟體服務業,遊戲 Server端工程師,"月薪 50,000~80,000元"
11~30人應徵,新北市中和區,晶睿通訊股份有限公司,4/01,碩士,經歷不拘,多媒體相關業,軟體/韌體設計工程師 (A),待遇面議
6~10人應徵,台北市信義區,特雷維科技有限公司,4/23,專科,經歷不拘,電腦軟體服務業,Backend Engineer,待遇面議
0~5人應徵,新北市三重區,點通科技股份有限公司,4/10,專科,經歷不拘,其他電信及通訊相關業,雲端工程師,"月薪 45,000~60,000元"
0~5人應徵,台北市信義區,喜登數位股份有限公司,4/19,專科,2年以上,電腦及其週邊設備製造業,Senior Back-end Developer,待遇面議
0~5人應徵,台中市西屯區,鉑麟科技股份有限公司,4/22,學歷不拘,1年以上,電腦軟體服務業,後端程式工程師,"月薪 60,000~100,000元"
0~5人應徵,台北市北投區,華碩電腦股份有限公司,2/27,大學,經歷不拘,電腦及其週邊設備製造業,RD20375 雲端研發工程師,待遇面議
0~5人應徵,台北市北投區,華碩電腦股份有限公司,1/16,大學,5年以上,電腦及其週邊設備製造業,RD20366 資深雲存儲系統Ceph軟體工程師,待遇面議
0~5人應徵,台北市大安區,香港商環球通證有限公司(籌備處),4/22,學歷不拘,2年以上,電腦軟體服務業,區塊鏈後端開發工程師,待遇面議
0~5人應徵,新竹縣竹北市,雲創通訊股份有限公司,4/24,大學,經歷不拘,其他電信及通訊相關業,Software Auto Test engineer,待遇面議
0~5人應徵,新竹縣竹北市,雲創通訊股份有限公司,4/24,大學,經歷不拘,其他電信及通訊相關業,Web Application Engineer,待遇面議
0~5人應徵,台北市內湖區,荃方科技股份有限公司,4/23,專科,2年以上,電腦軟體服務業,Website Developer - 前端工程師,待遇面議
0~5人應徵,台北市南港區,京潤科技股份有限公司,4/22,大學,2年以上,IC設計相關業,SDN軟體研發工程師,待遇面議
0~5人應徵,台中市西區,耀點國際有限公司,4/25,專科,1年以上,電腦軟體服務業,維運工程師,"月薪 35,000~60,000元"
0~5人應徵,台南市中西區,麗寶大數據股份有限公司,4/11,專科,3年以上,電腦軟體服務業,RH-資料與後端工程師,"月薪 31,000~70,000元"
0~5人應徵,台北市大安區,干城數碼有限公司,4/22,專科,2年以上,電腦軟體服務業,Python /C / C++ / node.js 工程師_B,待遇面議
0~5人應徵,台中市西屯區,鉑麟科技股份有限公司,4/22,大學,1年以上,電腦軟體服務業,遊戲後端工程師,"月薪 50,000~100,000元"
0~5人應徵,台北市內湖區,薩摩亞商長穩智能管理有限公司,4/25,大學,3年以上,電腦系統整合服務業,大數據系統工程師,待遇面議
0~5人應徵,新北市新店區,宏達電 HTC Corporation_宏達國際電子股份有限公司,4/17,大學,1年以上,消費性電子產品製造業,(RD S/W) DeepQ - DevOps Engineer /運維工程師 - J01488,待遇面議
0~5人應徵,台北市內湖區,萊思特科技股份有限公司,4/19,大學,2年以上,電腦系統整合服務業,後端工程師,待遇面議
